league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
ENG-Premier League,2223,Bournemouth,2023-03-11 Bournemouth-Liverpool,2023-03-11,12:30:00,Matchweek 27,Sat,Home,W,1,0,Liverpool,0.9,1.7,31,10536,Neto,4-4-1-1,John Brooks
ENG-Premier League,2223,Bournemouth,2023-03-18 Aston Villa-Bournemouth,2023-03-18,15:00:00,Matchweek 28,Sat,Away,L,0,3,Aston Villa,1.3,3.5,44,41021,Neto,4-4-1-1,Robert Jones
ENG-Premier League,2223,Bournemouth,2023-04-01 Bournemouth-Fulham,2023-04-01,15:00:00,Matchweek 29,Sat,Home,W,2,1,Fulham,2.6,0.8,43,10305,Neto,4-4-1-1,Peter Bankes
ENG-Premier League,2223,Bournemouth,2023-04-04 Bournemouth-Brighton,2023-04-04,19:45:00,Matchweek 7,Tue,Home,L,0,2,Brighton,1.7,2.7,37,10266,Neto,4-4-1-1,Darren Bond
ENG-Premier League,2223,Bournemouth,2023-04-08 Leicester City-Bournemouth,2023-04-08,15:00:00,Matchweek 30,Sat,Away,W,1,0,Leicester City,2.0,0.7,49,32094,Neto,4-2-3-1,David Coote
ENG-Premier League,2223,Bournemouth,2023-04-15 Tottenham-Bournemouth,2023-04-15,15:00:00,Matchweek 31,Sat,Away,W,3,2,Tottenham,1.3,2.2,42,61369,Neto,3-4-3,Andy Madley
ENG-Premier League,2223,Bournemouth,2023-04-23 Bournemouth-West Ham,2023-04-23,14:00:00,Matchweek 32,Sun,Home,L,0,4,West Ham,1.5,2.4,64,10465,Neto,3-4-3,Anthony Taylor
ENG-Premier League,2223,Bournemouth,2023-04-27 Southampton-Bournemouth,2023-04-27,19:45:00,Matchweek 33,Thu,Away,W,1,0,Southampton,0.9,0.5,43,30414,Neto,3-4-3,Darren England
ENG-Premier League,2223,Bournemouth,2023-04-30 Bournemouth-Leeds United,2023-04-30,14:00:00,Matchweek 34,Sun,Home,W,4,1,Leeds United,1.9,1.6,42,10434,Neto,4-2-3-1,Chris Kavanagh
ENG-Premier League,2223,Bournemouth,2023-05-06 Bournemouth-Chelsea,2023-05-06,15:00:00,Matchweek 35,Sat,Home,L,1,3,Chelsea,1.2,1.3,35,10357,Neto,4-2-3-1,John Brooks
ENG-Premier League,2223,Bournemouth,2023-05-13 Crystal Palace-Bournemouth,2023-05-13,15:00:00,Matchweek 36,Sat,Away,L,0,2,Crystal Palace,0.3,1.5,41,25034,Neto,4-2-3-1,Michael Salisbury
ENG-Premier League,2223,Bournemouth,2023-05-20 Bournemouth-Manchester Utd,2023-05-20,15:00:00,Matchweek 37,Sat,Home,L,0,1,Manchester Utd,1.0,1.4,41,10240,Neto,4-2-3-1,Chris Kavanagh
ENG-Premier League,2223,Bournemouth,2023-05-28 Everton-Bournemouth,2023-05-28,16:30:00,Matchweek 38,Sun,Away,L,0,1,Everton,0.5,1.0,62,39201,Adam Smith,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Brentford,2022-08-07 Leicester City-Brentford,2022-08-07,14:00:00,Matchweek 1,Sun,Away,D,2,2,Leicester City,0.8,0.6,44,31794,Pontus Jansson,4-3-3,Jarred Gillett
ENG-Premier League,2223,Brentford,2022-08-13 Brentford-Manchester Utd,2022-08-13,17:30:00,Matchweek 2,Sat,Home,W,4,0,Manchester Utd,1.6,0.9,34,17051,Pontus Jansson,5-3-2,Stuart Attwell
